ingredient,drug_b,severity,side_effects,mechanism,clinical_action,confidence,created_at
aceclofenac,losartan,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to sodium and water retention and reduced renal blood flow, counteracting the effects of ARBs.",Monitor blood pressure and renal function; use with caution.,1,2026-05-13
aceclofenac,furosemide,Moderate,Reduced diuretic and antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to sodium and water retention and reduced renal blood flow, counteracting the effects of loop diuretics.",Monitor for edema and renal function; use with caution.,1,2026-05-13
aceclofenac,spironolactone,Minor,Slightly increased risk of hyperkalemia and renal impairment.,"NSAIDs can decrease renal blood flow, potentially exacerbating hyperkalemia with potassium-sparing diuretics.",Monitor potassium levels and renal function if used together.,1,2026-05-13
aceclofenac,metformin,Minor,Increased risk of lactic acidosis and renal impairment.,"NSAIDs can impair renal function, increasing the risk of metformin accumulation and lactic acidosis.",Monitor renal function closely; use with caution.,1,2026-05-13
methylcobalamin,,,,,,1,2026-05-13
serratiopeptidase,warfarin,Moderate,Increased risk of bleeding.,"Serratiopeptidase may have fibrinolytic and anticoagulant properties, potentially potentiating warfarin's effect.",Monitor INR closely and monitor for signs of bleeding.,1,2026-05-13
serratiopeptidase,clopidogrel,Moderate,Increased risk of bleeding.,"Serratiopeptidase may have fibrinolytic and antiplatelet properties, potentially potentiating clopidogrel's effect.",Monitor for signs of bleeding; use with caution.,1,2026-05-13
serratiopeptidase,aspirin,Moderate,Increased risk of bleeding.,"Serratiopeptidase may have fibrinolytic and antiplatelet properties, potentially potentiating aspirin's effect.",Monitor for signs of bleeding; use with caution.,1,2026-05-13
guaifenesin,,,,,,1,2026-05-13
ambroxol,,,,,,1,2026-05-13
ornidazole,warfarin,Major,Increased risk of bleeding.,"Ornidazole, like other nitroimidazoles, may inhibit the metabolism of warfarin, increasing its anticoagulant effect.",Monitor INR closely and monitor for signs of bleeding. Adjust warfarin dose if necessary.,1,2026-05-13
ornidazole,phenytoin,Moderate,Reduced efficacy of phenytoin.,"Ornidazole may induce hepatic enzymes, increasing the metabolism of phenytoin.",Monitor phenytoin levels and efficacy; adjust dose if necessary.,1,2026-05-13
ornidazole,carbamazepine,Moderate,Reduced efficacy of carbamazepine.,"Ornidazole may induce hepatic enzymes, increasing the metabolism of carbamazepine.",Monitor carbamazepine levels and efficacy; adjust dose if necessary.,1,2026-05-13
ornidazole,phenobarbital,Moderate,Reduced efficacy of phenobarbital.,"Ornidazole may induce hepatic enzymes, increasing the metabolism of phenobarbital.",Monitor phenobarbital levels and efficacy; adjust dose if necessary.,1,2026-05-13
ornidazole,lithium,Minor,Increased risk of lithium toxicity.,"Ornidazole may impair renal excretion of lithium, leading to increased serum lithium levels.",Monitor lithium levels and signs of toxicity.,1,2026-05-13
nimesulide,warfarin,Major,Increased risk of bleeding.,"NSAIDs can inhibit platelet aggregation and gastric mucosal defense, potentiating the anticoagulant effect of warfarin.",Monitor INR closely; consider alternative analgesic or reduce warfarin dose.,1,2026-05-13
nimesulide,aspirin,Moderate,Increased risk of gastrointestinal bleeding and ulceration.,Additive effect on gastrointestinal mucosal damage and platelet inhibition.,Use with caution; consider gastroprotective agent or alternative NSAID.,1,2026-05-13
nimesulide,ibuprofen,Moderate,Increased risk of gastrointestinal bleeding and ulceration.,Additive effect on gastrointestinal mucosal damage.,Use with caution; consider gastroprotective agent or alternative NSAID.,1,2026-05-13
nimesulide,ramipril,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to sodium and water retention and reduced renal blood flow, counteracting the effects of ACE inhibitors.",Monitor blood pressure and renal function; use with caution.,1,2026-05-13
nimesulide,losartan,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to sodium and water retention and reduced renal blood flow, counteracting the effects of ARBs.",Monitor blood pressure and renal function; use with caution.,1,2026-05-13
nimesulide,furosemide,Moderate,Reduced diuretic and antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to sodium and water retention and reduced renal blood flow, counteracting the effects of loop diuretics.",Monitor for edema and renal function; use with caution.,1,2026-05-13
nimesulide,metformin,Minor,Increased risk of lactic acidosis and renal impairment.,"NSAIDs can impair renal function, increasing the risk of metformin accumulation and lactic acidosis.",Monitor renal function closely; use with caution.,1,2026-05-13
sulbactam,aminoglycosides,Minor,No clinically significant interaction noted.,No significant pharmacological interaction.,No specific action required.,1,2026-05-13
sulbactam,probenecid,Minor,May increase serum concentrations of sulbactam.,Probenecid inhibits renal tubular secretion of sulbactam.,"Monitor for potential increase in sulbactam levels, though usually not clinically significant.",1,2026-05-13
lactobacillus,antibiotics,Minor,Reduced efficacy of lactobacillus.,"Antibiotics can kill beneficial bacteria, including lactobacilli.",Administer lactobacillus several hours apart from antibiotics.,1,2026-05-13
lactobacillus,immunosuppressants,Moderate,Increased risk of infection in immunocompromised individuals.,Lactobacillus is a live organism and may pose a risk in severely immunocompromised patients.,Use with caution in severely immunocompromised patients; consult with physician.,1,2026-05-13
thiocolchicoside,diazepam,Moderate,Increased sedation and muscle relaxation.,"Both agents have muscle relaxant and sedative properties, leading to additive effects.",Monitor for excessive sedation and respiratory depression; consider dose reduction of one or both agents.,1,2026-05-13
thiocolchicoside,lorazepam,Moderate,Increased sedation and central nervous system depression.,Additive CNS depressant effects.,Monitor for increased somnolence and impaired cognitive function; consider dose adjustment.,1,2026-05-13
thiocolchicoside,alprazolam,Moderate,Enhanced central nervous system depressant effects.,"Both agents can cause CNS depression, leading to additive effects.",Monitor for increased drowsiness and impaired coordination; potentially reduce dose.,1,2026-05-13
thiocolchicoside,clonazepam,Moderate,Potentially increased sedation and muscle relaxation.,"Both drugs can cause CNS depression and muscle relaxation, leading to additive effects.",Observe patient for signs of excessive sedation; consider dose adjustment.,1,2026-05-13
thiocolchicoside,midazolam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for profound sedation and respiratory depression; caution with use.,1,2026-05-13
thiocolchicoside,zolpidem,Moderate,Increased sedation and impairment of motor function.,"Both agents can cause CNS depression, leading to additive effects.",Monitor for enhanced somnolence and reduced coordination; consider dose adjustment.,1,2026-05-13
menthol,,,,,,1,2026-05-13
etoricoxib,warfarin,Moderate,Increased risk of bleeding.,COX-2 inhibitors may interfere with the anticoagulant effect of warfarin.,Monitor INR closely and adjust warfarin dose if necessary.,1,2026-05-13
etoricoxib,ramipril,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to sodium retention and blunting of ACE inhibitor efficacy.",Monitor blood pressure and renal function; consider alternative analgesic or dose adjustment of ramipril.,1,2026-05-13
etoricoxib,losartan,Moderate,Decreased antihypertensive effect and increased risk of kidney damage.,NSAIDs can reduce the effectiveness of ARBs by inhibiting renal prostaglandin synthesis.,Monitor blood pressure and renal function; consider alternative pain management.,1,2026-05-13
etoricoxib,atenolol,Moderate,Reduced antihypertensive effect.,NSAIDs can antagonize the effects of beta-blockers by causing sodium and water retention.,Monitor blood pressure; consider alternative analgesic or dose adjustment of atenolol.,1,2026-05-13
etoricoxib,metoprolol,Moderate,Reduced antihypertensive effect.,"NSAIDs can cause sodium and water retention, reducing the efficacy of beta-blockers.",Monitor blood pressure and consider alternative pain relief if needed.,1,2026-05-13
etoricoxib,amlodipine,Moderate,Reduced antihypertensive effect.,NSAIDs can diminish the effects of calcium channel blockers through sodium retention.,Monitor blood pressure and renal function; consider alternative analgesic.,1,2026-05-13
etoricoxib,furosemide,Moderate,"Reduced diuretic and antihypertensive effect, increased risk of renal impairment.","NSAIDs inhibit renal prostaglandin synthesis, leading to sodium and water retention.",Monitor for edema and renal function; ensure adequate hydration.,1,2026-05-13
etoricoxib,aspirin,Moderate,Increased risk of gastrointestinal bleeding.,"Both drugs can inhibit COX enzymes, leading to additive gastrointestinal toxicity.","Avoid concomitant use; if necessary, use low-dose aspirin for cardioprotection with caution and monitor for GI symptoms.",1,2026-05-13
etoricoxib,ibuprofen,Moderate,Increased risk of gastrointestinal bleeding and renal impairment.,"Both are NSAIDs, leading to additive gastrointestinal and renal toxicity.","Avoid concurrent use; if necessary, monitor for GI symptoms and renal function.",1,2026-05-13
etoricoxib,clopidogrel,Moderate,Increased risk of bleeding.,NSAIDs can inhibit platelet aggregation and increase the risk of GI bleeding when combined with antiplatelet agents.,Monitor for signs of bleeding and adjust doses if necessary; use with caution.,1,2026-05-13
levosulpiride,tramadol,Moderate,Increased risk of seizures.,Both drugs can lower the seizure threshold.,Use with caution and monitor for seizure activity.,1,2026-05-13
levosulpiride,codeine,Moderate,Increased risk of seizures.,Both drugs can lower the seizure threshold.,Monitor for seizure activity; use with caution.,1,2026-05-13
levosulpiride,morphine,Moderate,Increased risk of seizures.,Both drugs can lower the seizure threshold.,Monitor for seizure activity; use with caution.,1,2026-05-13
levosulpiride,haloperidol,Major,Increased risk of extrapyramidal symptoms (EPS) and QT prolongation.,Both drugs can affect dopamine receptors and have the potential to prolong QT interval.,Monitor for EPS and cardiac arrhythmias; use with extreme caution and consider alternatives.,1,2026-05-13
levosulpiride,clozapine,Major,Increased risk of seizures and agranulocytosis.,Both drugs can lower the seizure threshold and affect hematological parameters.,Monitor for seizure activity and blood counts; use with extreme caution.,1,2026-05-13
levosulpiride,olanzapine,Moderate,Increased risk of seizures.,Both drugs can lower the seizure threshold.,Monitor for seizure activity; use with caution.,1,2026-05-13
levosulpiride,metoclopramide,Major,Increased risk of extrapyramidal symptoms and tardive dyskinesia.,Both are dopamine antagonists that can cause similar side effects.,Avoid concomitant use or monitor closely for EPS.,1,2026-05-13
voglibose,metformin,Minor,Increased risk of gastrointestinal side effects.,Both agents can cause GI disturbances; additive effects possible.,Monitor for gastrointestinal upset; advise patient on potential side effects.,1,2026-05-13
voglibose,insulin,Moderate,Increased risk of hypoglycemia.,Both drugs lower blood glucose levels; additive effect.,Monitor blood glucose closely and adjust insulin dose if necessary.,1,2026-05-13
voglibose,furosemide,Minor,Potential for altered glycemic control.,Diuretics can sometimes affect glucose metabolism.,Monitor blood glucose levels regularly.,1,2026-05-13
voglibose,prednisolone,Moderate,Reduced glycemic control.,"Corticosteroids can increase blood glucose levels, counteracting the effect of voglibose.",Monitor blood glucose levels closely and adjust voglibose or insulin dose.,1,2026-05-13
voglibose,dexamethasone,Moderate,Reduced glycemic control.,"Corticosteroids can increase blood glucose levels, counteracting the effect of voglibose.",Monitor blood glucose levels closely and adjust voglibose or insulin dose.,1,2026-05-13
nandrolone decanoate,warfarin,Moderate,Increased anticoagulant effect of warfarin.,Anabolic steroids can inhibit the metabolism of warfarin.,Monitor INR closely and adjust warfarin dose if necessary.,1,2026-05-13
nandrolone decanoate,insulin,Moderate,Altered glycemic control; potential for hypoglycemia or hyperglycemia.,Anabolic steroids can affect insulin sensitivity and glucose metabolism.,Monitor blood glucose levels closely and adjust insulin dose as needed.,1,2026-05-13
nandrolone decanoate,atorvastatin,Moderate,Increased risk of hepatotoxicity and altered lipid profiles.,Both can affect liver function and lipid metabolism; potential for additive effects.,Monitor liver function tests and lipid profiles; use with caution.,1,2026-05-13
nandrolone decanoate,rosuvastatin,Moderate,Increased risk of hepatotoxicity and altered lipid profiles.,Both can affect liver function and lipid metabolism; potential for additive effects.,Monitor liver function tests and lipid profiles; use with caution.,1,2026-05-13
drotaverine,levodopa,Moderate,Reduced antiparkinsonian effect of levodopa.,Drotaverine's smooth muscle relaxant properties may antagonize levodopa's effects.,Monitor for worsening parkinsonian symptoms; consider alternative antispasmodic.,1,2026-05-13
drotaverine,atenolol,Minor,Potential for additive hypotensive effects.,Both can have vasodilatory effects.,Monitor blood pressure.,1,2026-05-13
drotaverine,metoprolol,Minor,Potential for additive hypotensive effects.,Both can have vasodilatory effects.,Monitor blood pressure.,1,2026-05-13
drotaverine,amlodipine,Minor,Potential for additive hypotensive effects.,Both can have vasodilatory effects.,Monitor blood pressure.,1,2026-05-13
drotaverine,ramipril,Minor,Potential for additive hypotensive effects.,Both can have vasodilatory effects.,Monitor blood pressure.,1,2026-05-13
drotaverine,losartan,Minor,Potential for additive hypotensive effects.,Both can have vasodilatory effects.,Monitor blood pressure.,1,2026-05-13
rutoside,,,,,,1,2026-05-13
bromelain,warfarin,Moderate,Increased risk of bleeding.,"Bromelain may have antiplatelet effects, increasing the risk of bleeding when combined with anticoagulants.",Monitor for signs of bleeding; use with caution and consider dose adjustment of warfarin.,1,2026-05-13
bromelain,clopidogrel,Moderate,Increased risk of bleeding.,"Bromelain may inhibit platelet aggregation, enhancing the effect of clopidogrel.",Monitor for bleeding and bruising; use with caution.,1,2026-05-13
bromelain,aspirin,Moderate,Increased risk of bleeding.,"Bromelain may have antiplatelet effects, increasing the risk of bleeding when combined with antiplatelet agents.",Monitor for signs of bleeding; use with caution.,1,2026-05-13
trypsin,warfarin,Moderate,Increased risk of bleeding.,Proteolytic enzymes may potentially enhance the anticoagulant effect of warfarin.,Monitor INR closely and watch for signs of bleeding.,1,2026-05-13
trypsin,clopidogrel,Moderate,Increased risk of bleeding.,"Proteolytic enzymes may have mild antiplatelet effects, potentially increasing bleeding risk.",Monitor for signs of bleeding; use with caution.,1,2026-05-13
trypsin,aspirin,Moderate,Increased risk of bleeding.,"Proteolytic enzymes may have mild antiplatelet effects, potentially increasing bleeding risk.",Monitor for signs of bleeding; use with caution.,1,2026-05-13
olmesartan medoxomil,atenolol,Moderate,Increased risk of hypotension and dizziness.,Additive pharmacodynamic effect on blood pressure lowering.,Monitor blood pressure closely; consider dose adjustment.,1,2026-05-13
olmesartan medoxomil,metoprolol,Moderate,Increased risk of hypotension and dizziness.,Additive pharmacodynamic effect on blood pressure lowering.,Monitor blood pressure closely; consider dose adjustment.,1,2026-05-13
olmesartan medoxomil,ramipril,Moderate,Increased risk of hyperkalemia and renal impairment.,Concurrent blockade of the renin-angiotensin-aldosterone system.,Monitor serum potassium and renal function.,1,2026-05-13
olmesartan medoxomil,atorvastatin,Minor,Potential for minor increase in myopathy risk.,"Possible CYP2C9 interaction, though generally considered minor.",No routine monitoring required unless symptoms develop.,1,2026-05-13
olmesartan medoxomil,rosuvastatin,Minor,Potential for minor increase in myopathy risk.,"Possible CYP2C9 interaction, though generally considered minor.",No routine monitoring required unless symptoms develop.,1,2026-05-13
olmesartan medoxomil,ibuprofen,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, affecting renal blood flow and sodium excretion.",Avoid concurrent use if possible; monitor blood pressure and renal function.,1,2026-05-13
olmesartan medoxomil,aspirin,Minor,Slight reduction in antihypertensive efficacy.,Low-dose aspirin may interfere with the RAAS effects.,"Generally considered safe, monitor BP.",1,2026-05-13
olmesartan medoxomil,clopidogrel,Minor,No significant interaction expected.,No known clinically significant pharmacokinetic or pharmacodynamic interaction.,No specific action needed.,1,2026-05-13
bromhexine,codeine,Moderate,Increased risk of respiratory depression and sedation.,Additive central nervous system depressant effects.,Use with caution; monitor respiratory status and sedation.,1,2026-05-13
bromhexine,morphine,Moderate,Increased risk of respiratory depression and sedation.,Additive central nervous system depressant effects.,Use with caution; monitor respiratory status and sedation.,1,2026-05-13
bromhexine,tramadol,Moderate,Increased risk of respiratory depression and sedation.,Additive central nervous system depressant effects.,Use with caution; monitor respiratory status and sedation.,1,2026-05-13
luliconazole,,,,,,1,2026-05-13
teneligliptin,metformin,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
teneligliptin,insulin,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
teneligliptin,gliclazide,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
gliclazide,metformin,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
gliclazide,insulin,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
gliclazide,teneligliptin,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
gliclazide,atenolol,Moderate,Masked symptoms of hypoglycemia; reduced hypoglycemic response.,Beta-blockers can mask hypoglycemia symptoms and interfere with glucose regulation.,Monitor blood glucose levels closely; educate patient on masked symptoms.,1,2026-05-13
gliclazide,metoprolol,Moderate,Masked symptoms of hypoglycemia; reduced hypoglycemic response.,Beta-blockers can mask hypoglycemia symptoms and interfere with glucose regulation.,Monitor blood glucose levels closely; educate patient on masked symptoms.,1,2026-05-13
oxetacaine,,,,,,1,2026-05-13
acebrophylline,codeine,Moderate,Increased risk of respiratory depression and sedation.,Additive central nervous system depressant effects.,Use with caution; monitor respiratory status and sedation.,1,2026-05-13
acebrophylline,morphine,Moderate,Increased risk of respiratory depression and sedation.,Additive central nervous system depressant effects.,Use with caution; monitor respiratory status and sedation.,1,2026-05-13
acebrophylline,tramadol,Moderate,Increased risk of respiratory depression and sedation.,Additive central nervous system depressant effects.,Use with caution; monitor respiratory status and sedation.,1,2026-05-13
cilnidipine,atenolol,Moderate,Increased risk of hypotension and bradycardia.,Additive pharmacodynamic effect on blood pressure and heart rate.,Monitor blood pressure and heart rate; consider dose adjustment.,1,2026-05-13
cilnidipine,metoprolol,Moderate,Increased risk of hypotension and bradycardia.,Additive pharmacodynamic effect on blood pressure and heart rate.,Monitor blood pressure and heart rate; consider dose adjustment.,1,2026-05-13
cilnidipine,ibuprofen,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, affecting renal blood flow and sodium excretion.",Avoid concurrent use if possible; monitor blood pressure and renal function.,1,2026-05-13
cilnidipine,aspirin,Minor,Slight reduction in antihypertensive efficacy.,Low-dose aspirin may interfere with the RAAS effects.,"Generally considered safe, monitor BP.",1,2026-05-13
vildagliptin,metformin,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
vildagliptin,insulin,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
vildagliptin,gliclazide,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; adjust doses if necessary.,1,2026-05-13
mometasone,prednisolone,Moderate,Increased risk of systemic corticosteroid side effects.,"Additive corticosteroid effects, leading to potential adrenal suppression and immunosuppression.",Monitor for signs of hypercorticism; consider reducing dose of one agent.,1,2026-05-13
mometasone,dexamethasone,Moderate,Increased risk of systemic corticosteroid side effects.,"Additive corticosteroid effects, leading to potential adrenal suppression and immunosuppression.",Monitor for signs of hypercorticism; consider reducing dose of one agent.,1,2026-05-13
mometasone,atorvastatin,Minor,Possible increased risk of myopathy.,Corticosteroids can potentially affect lipid metabolism.,Monitor for muscle pain or weakness.,1,2026-05-13
mometasone,rosuvastatin,Minor,Possible increased risk of myopathy.,Corticosteroids can potentially affect lipid metabolism.,Monitor for muscle pain or weakness.,1,2026-05-13
beclometasone,prednisolone,Major,Increased risk of systemic corticosteroid side effects.,Additive pharmacodynamic effects of corticosteroids.,Monitor for signs of corticosteroid toxicity and consider dose reduction if clinically appropriate.,1,2026-05-13
beclometasone,dexamethasone,Major,Increased risk of systemic corticosteroid side effects.,Additive pharmacodynamic effects of corticosteroids.,Monitor for signs of corticosteroid toxicity and consider dose reduction if clinically appropriate.,1,2026-05-13
betahistine,,,,,,1,2026-05-13
piracetam,,,,,,1,2026-05-13
tricholine citrate,,,,,,1,2026-05-13
diacerein,warfarin,Moderate,Increased risk of bleeding.,Diacerein metabolites can potentially inhibit warfarin metabolism.,Monitor INR closely and adjust warfarin dose as needed.,1,2026-05-13
diacerein,aspirin,Moderate,Increased risk of gastrointestinal bleeding.,Additive antiplatelet effects and potential GI irritancy.,Use with caution and monitor for signs of GI bleeding.,1,2026-05-13
diacerein,ibuprofen,Moderate,Increased risk of gastrointestinal bleeding.,Additive GI irritancy and potential for NSAID-induced ulceration.,Use with caution and monitor for signs of GI bleeding.,1,2026-05-13
diacerein,clopidogrel,Moderate,Increased risk of bleeding.,Additive antiplatelet effects.,Monitor for signs of bleeding and consider dose adjustment.,1,2026-05-13
niacinamide,,,,,,1,2026-05-13
roxithromycin,digoxin,Moderate,Increased digoxin levels and risk of toxicity.,"Macrolide antibiotics may affect gut flora, altering digoxin absorption.",Monitor digoxin levels and for signs of toxicity.,1,2026-05-13
etizolam,alprazolam,Major,"Increased CNS depression, sedation, and respiratory depression.",Additive pharmacodynamic effects of benzodiazepines.,"Avoid concurrent use; if necessary, use with extreme caution and lowest effective doses.",1,2026-05-13
etizolam,diazepam,Major,"Increased CNS depression, sedation, and respiratory depression.",Additive pharmacodynamic effects of benzodiazepines.,"Avoid concurrent use; if necessary, use with extreme caution and lowest effective doses.",1,2026-05-13
etizolam,lorazepam,Major,"Increased CNS depression, sedation, and respiratory depression.",Additive pharmacodynamic effects of benzodiazepines.,"Avoid concurrent use; if necessary, use with extreme caution and lowest effective doses.",1,2026-05-13
etizolam,clonazepam,Major,"Increased CNS depression, sedation, and respiratory depression.",Additive pharmacodynamic effects of benzodiazepines.,"Avoid concurrent use; if necessary, use with extreme caution and lowest effective doses.",1,2026-05-13
etizolam,midazolam,Major,"Increased CNS depression, sedation, and respiratory depression.",Additive pharmacodynamic effects of benzodiazepines.,"Avoid concurrent use; if necessary, use with extreme caution and lowest effective doses.",1,2026-05-13
etizolam,zolpidem,Major,"Increased CNS depression, sedation, and respiratory depression.",Additive pharmacodynamic effects with sedative hypnotics.,"Avoid concurrent use; if necessary, use with extreme caution and lowest effective doses.",1,2026-05-13
etizolam,tramadol,Moderate,Increased CNS depression and sedation.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
etizolam,codeine,Moderate,Increased CNS depression and sedation.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
etizolam,morphine,Moderate,Increased CNS depression and sedation.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
etizolam,amitriptyline,Moderate,Increased CNS depression and anticholinergic effects.,Additive CNS depressant and anticholinergic effects.,Monitor for increased sedation and anticholinergic side effects.,1,2026-05-13
etizolam,haloperidol,Moderate,Increased CNS depression and sedation.,Additive CNS depressant effects.,Monitor for increased sedation and extrapyramidal symptoms.,1,2026-05-13
etizolam,clozapine,Moderate,Increased CNS depression and sedation.,Additive CNS depressant effects.,Monitor for increased sedation and risk of agranulocytosis.,1,2026-05-13
etizolam,olanzapine,Moderate,Increased CNS depression and sedation.,Additive CNS depressant effects.,Monitor for increased sedation and metabolic side effects.,1,2026-05-13
divalproex,phenytoin,Moderate,Altered phenytoin levels and potential for toxicity or subtherapeutic effect.,Valproic acid can displace phenytoin from plasma protein binding sites and inhibit its metabolism.,Monitor phenytoin levels and clinical response; adjust phenytoin dose if necessary.,1,2026-05-13
divalproex,carbamazepine,Moderate,Increased carbamazepine levels and potential for toxicity.,Valproic acid can inhibit carbamazepine metabolism.,Monitor carbamazepine levels and for signs of toxicity.,1,2026-05-13
divalproex,lamotrigine,Major,"Increased lamotrigine levels and risk of severe rash, including Stevens-Johnson syndrome.",Valproic acid inhibits lamotrigine glucuronidation.,"Avoid concurrent use. If necessary, start lamotrigine at a lower dose and titrate slowly, monitoring closely for rash.",1,2026-05-13
divalproex,risperidone,Moderate,Increased risperidone levels and potential for extrapyramidal symptoms.,Valproic acid may inhibit glucuronidation of risperidone metabolites.,Monitor for increased sedation and extrapyramidal symptoms.,1,2026-05-13
povidone iodine,,,,,,1,2026-05-13
itopride,,,,,,1,2026-05-13
carboxymethylcellulose,warfarin,Minor,Reduced absorption of warfarin.,"Carboxymethylcellulose can bind to other drugs in the GI tract, slowing absorption.",Monitor INR closely and consider spacing administration.,1,2026-05-13
carboxymethylcellulose,metformin,Minor,Reduced absorption of metformin.,"Carboxymethylcellulose can bind to other drugs in the GI tract, slowing absorption.",Consider spacing administration of metformin.,1,2026-05-13
carboxymethylcellulose,atorvastatin,Minor,Reduced absorption of atorvastatin.,"Carboxymethylcellulose can bind to other drugs in the GI tract, slowing absorption.",Consider spacing administration of atorvastatin.,1,2026-05-13
